source,dest,payment,installments,partners,date,source_name,dest_name
10,54,8803.86,487,14,2018-03-20,Node 10,Node 54
18,90,2713.18,716,47,2018-03-21,Node 18,Node 90
88,0,6494.51,716,74,2018-03-22,Node 88,Node 0
57,14,4872.78,8461,50,2018-03-23,Node 57,Node 14
60,70,6065.14,5835,29,2018-03-24,Node 60,Node 70
22,52,2789.11,3458,32,2018-03-25,Node 22,Node 52
57,79,8175.58,0,62,2018-03-26,Node 57,Node 79
96,84,537.34,7768,85,2018-03-27,Node 96,Node 84
91,41,614.25,262,1,2018-03-28,Node 91,Node 41
92,51,8473.23,7388,48,2018-03-29,Node 92,Node 51
43,3,8527.9,5398,11,2018-03-30,Node 43,Node 3
86,39,7247.37,3643,68,2018-03-31,Node 86,Node 39
47,75,7024.78,7132,32,2018-04-01,Node 47,Node 75
0,29,7678.92,21,83,2018-04-02,Node 0,Node 29
13,31,6014.36,1356,82,2018-04-03,Node 13,Node 31
89,8,8650.08,1028,29,2018-04-04,Node 89,Node 8
84,97,4305.59,10282,53,2018-04-05,Node 84,Node 97
17,38,5667.59,1450,51,2018-04-06,Node 17,Node 38
89,15,5541.32,0,60,2018-04-07,Node 89,Node 15
60,47,7373.84,615,31,2018-04-08,Node 60,Node 47
18,63,9543.04,1496,65,2018-04-09,Node 18,Node 63
38,19,7094.24,1760,56,2018-04-10,Node 38,Node 19
79,51,496.0,62,82,2018-04-11,Node 79,Node 51
15,25,7016.16,2460,78,2018-04-12,Node 15,Node 25
97,76,9040.68,212,24,2018-04-13,Node 97,Node 76
91,53,6986.41,167,69,2018-04-14,Node 91,Node 53
52,51,9911.62,3527,7,2018-04-15,Node 52,Node 51
83,11,1548.44,1863,93,2018-04-16,Node 83,Node 11
54,5,7452.16,436,94,2018-04-17,Node 54,Node 5
53,21,4138.25,1053,69,2018-04-18,Node 53,Node 21
31,3,8133.66,11194,41,2018-04-19,Node 31,Node 3
36,22,615.91,1716,82,2018-04-20,Node 36,Node 22
57,91,7445.58,313,59,2018-04-21,Node 57,Node 91
47,42,9873.49,820,61,2018-04-22,Node 47,Node 42
40,82,8903.93,8110,37,2018-04-23,Node 40,Node 82
97,22,6781.97,10887,74,2018-04-24,Node 97,Node 22
0,14,6026.61,5768,54,2018-04-25,Node 0,Node 14
85,52,1172.43,6825,60,2018-04-26,Node 85,Node 52
1,66,6734.77,2368,67,2018-04-27,Node 1,Node 66
25,68,8942.72,0,52,2018-04-28,Node 25,Node 68
68,73,1400.63,4638,84,2018-04-29,Node 68,Node 73
40,21,6880.57,1352,66,2018-04-30,Node 40,Node 21
24,0,595.99,1242,43,2018-05-01,Node 24,Node 0
18,80,8150.18,851,87,2018-05-02,Node 18,Node 80
34,40,8818.5,409,88,2018-05-03,Node 34,Node 40
29,69,680.4,0,48,2018-05-04,Node 29,Node 69
20,84,2321.56,2435,75,2018-05-05,Node 20,Node 84
57,68,4012.37,4757,33,2018-05-06,Node 57,Node 68
54,8,1623.0,3769,40,2018-05-07,Node 54,Node 8
21,90,8498.45,4683,29,2018-05-08,Node 21,Node 90
82,42,3722.31,11325,66,2018-05-09,Node 82,Node 42
74,10,40.95,8394,20,2018-05-10,Node 74,Node 10
82,15,2136.72,1552,37,2018-05-11,Node 82,Node 15
36,92,4356.82,2064,86,2018-05-12,Node 36,Node 92
12,5,9634.29,1566,84,2018-05-13,Node 12,Node 5
23,54,4976.55,627,38,2018-05-14,Node 23,Node 54
10,96,1105.09,8978,43,2018-05-15,Node 10,Node 96
52,41,9872.37,5408,40,2018-05-16,Node 52,Node 41
13,80,7803.97,5635,35,2018-05-17,Node 13,Node 80
15,26,9878.6,7916,14,2018-05-18,Node 15,Node 26
12,80,1240.11,3573,87,2018-05-19,Node 12,Node 80
80,50,5443.89,2642,43,2018-05-20,Node 80,Node 50
15,70,1888.51,845,27,2018-05-21,Node 15,Node 70
77,1,3585.59,1726,36,2018-05-22,Node 77,Node 1
30,19,6254.07,2932,53,2018-05-23,Node 30,Node 19
59,54,8331.43,483,16,2018-05-24,Node 59,Node 54
84,0,3830.85,0,37,2018-05-25,Node 84,Node 0
43,46,3755.54,3950,53,2018-05-26,Node 43,Node 46
3,23,7879.44,1595,1,2018-05-27,Node 3,Node 23
54,47,7051.35,6706,74,2018-05-28,Node 54,Node 47
65,85,5026.64,6635,96,2018-05-29,Node 65,Node 85
39,44,2321.19,262,61,2018-05-30,Node 39,Node 44
86,98,930.35,2142,73,2018-05-31,Node 86,Node 98
36,84,2013.59,4081,2,2018-06-01,Node 36,Node 84
78,58,8962.46,8025,14,2018-06-02,Node 78,Node 58
53,79,1958.63,8,76,2018-06-03,Node 53,Node 79
88,17,8254.45,2850,52,2018-06-04,Node 88,Node 17
94,35,881.56,3744,6,2018-06-05,Node 94,Node 35
11,71,7447.97,11788,37,2018-06-06,Node 11,Node 71
74,57,9259.37,2337,31,2018-06-07,Node 74,Node 57
41,16,8779.21,5696,98,2018-06-08,Node 41,Node 16
79,33,7327.21,1764,5,2018-06-09,Node 79,Node 33
43,39,7686.45,3166,33,2018-06-10,Node 43,Node 39
53,20,4334.65,2548,88,2018-06-11,Node 53,Node 20
99,98,718.49,3020,1,2018-06-12,Node 99,Node 98
85,66,6058.35,5083,26,2018-06-13,Node 85,Node 66
93,68,4022.38,10705,91,2018-06-14,Node 93,Node 68
38,84,2194.51,5968,36,2018-06-15,Node 38,Node 84
73,15,730.13,7345,12,2018-06-16,Node 73,Node 15
65,47,7489.7,10924,11,2018-06-17,Node 65,Node 47
74,85,4814.07,219,72,2018-06-18,Node 74,Node 85
4,71,4027.89,485,77,2018-06-19,Node 4,Node 71
32,58,5874.6,483,44,2018-06-20,Node 32,Node 58
16,22,2835.86,8811,25,2018-06-21,Node 16,Node 22
33,97,2837.97,1622,98,2018-06-22,Node 33,Node 97
66,60,9631.1,5669,71,2018-06-23,Node 66,Node 60
21,66,8047.39,1057,74,2018-06-24,Node 21,Node 66
7,14,7401.88,3045,37,2018-06-25,Node 7,Node 14
4,97,8208.44,9781,81,2018-06-26,Node 4,Node 97
48,77,2681.8,901,35,2018-06-27,Node 48,Node 77
3,82,5744.77,5461,51,2018-06-28,Node 3,Node 82
81,40,1353.63,5609,37,2018-06-29,Node 81,Node 40
78,94,5561.88,8879,63,2018-06-30,Node 78,Node 94
37,3,6113.59,5198,28,2018-07-01,Node 37,Node 3
78,31,6133.43,3394,69,2018-07-02,Node 78,Node 31
63,53,6527.24,478,30,2018-07-03,Node 63,Node 53
48,18,4626.53,1907,65,2018-07-04,Node 48,Node 18
67,62,580.72,917,94,2018-07-05,Node 67,Node 62
78,60,9813.53,2899,37,2018-07-06,Node 78,Node 60
45,56,8769.99,8041,18,2018-07-07,Node 45,Node 56
87,70,3974.53,1373,2,2018-07-08,Node 87,Node 70
27,39,5849.78,1961,31,2018-07-09,Node 27,Node 39
70,17,3628.38,3112,9,2018-07-10,Node 70,Node 17
93,2,4849.69,5250,93,2018-07-11,Node 93,Node 2
99,45,6933.05,4082,66,2018-07-12,Node 99,Node 45
54,39,6892.15,10576,22,2018-07-13,Node 54,Node 39
35,93,6879.53,6769,48,2018-07-14,Node 35,Node 93
8,23,4659.4,53,62,2018-07-15,Node 8,Node 23
30,11,8537.03,1948,63,2018-07-16,Node 30,Node 11
41,99,4503.14,10430,95,2018-07-17,Node 41,Node 99
21,1,9150.11,1127,65,2018-07-18,Node 21,Node 1
27,67,2900.33,939,56,2018-07-19,Node 27,Node 67
6,33,6106.45,3320,45,2018-07-20,Node 6,Node 33
21,49,4335.17,7727,75,2018-07-21,Node 21,Node 49
43,80,2978.3,371,26,2018-07-22,Node 43,Node 80
51,39,456.08,4392,57,2018-07-23,Node 51,Node 39
75,60,356.08,4341,78,2018-07-24,Node 75,Node 60
81,28,2421.31,867,83,2018-07-25,Node 81,Node 28
88,62,3544.14,8349,75,2018-07-26,Node 88,Node 62
49,91,9357.63,4426,83,2018-07-27,Node 49,Node 91
69,28,7519.05,367,35,2018-07-28,Node 69,Node 28
48,98,1929.04,3664,76,2018-07-30,Node 48,Node 98
75,18,8070.21,4266,49,2018-07-31,Node 75,Node 18
77,55,6224.84,723,74,2018-08-01,Node 77,Node 55
69,52,5367.59,11887,47,2018-08-02,Node 69,Node 52
20,18,1128.3,1893,9,2018-08-03,Node 20,Node 18
12,88,9786.8,5575,7,2018-08-04,Node 12,Node 88
48,39,4791.2,4969,51,2018-08-05,Node 48,Node 39
78,11,7224.73,616,87,2018-08-06,Node 78,Node 11
39,60,9290.33,2018,64,2018-08-07,Node 39,Node 60
87,49,1302.6,2182,52,2018-08-08,Node 87,Node 49
82,61,1490.85,1992,28,2018-08-09,Node 82,Node 61
1,22,9824.57,4002,22,2018-08-10,Node 1,Node 22
1,50,2144.34,300,2,2018-08-11,Node 1,Node 50
20,86,1528.06,854,99,2018-08-12,Node 20,Node 86
40,81,9799.46,133,76,2018-08-13,Node 40,Node 81
63,20,6095.36,0,90,2018-08-14,Node 63,Node 20
45,67,2996.82,3263,84,2018-08-15,Node 45,Node 67
57,46,768.87,7426,66,2018-08-16,Node 57,Node 46
74,91,7182.5,0,27,2018-08-17,Node 74,Node 91
16,86,48.91,0,23,2018-08-18,Node 16,Node 86
9,12,5090.64,6821,23,2018-08-19,Node 9,Node 12
46,86,1568.75,1949,99,2018-08-20,Node 46,Node 86
15,66,6627.36,2163,6,2018-08-21,Node 15,Node 66
90,19,1418.83,974,34,2018-08-22,Node 90,Node 19
98,15,483.08,812,60,2018-08-23,Node 98,Node 15
74,27,4007.79,8677,75,2018-08-24,Node 74,Node 27
79,85,9437.69,5907,89,2018-08-25,Node 79,Node 85
56,36,9118.02,2126,6,2018-08-26,Node 56,Node 36
89,22,6327.7,9970,41,2018-08-27,Node 89,Node 22
25,92,1706.61,0,4,2018-08-28,Node 25,Node 92
84,36,3691.9,1664,75,2018-08-29,Node 84,Node 36
2,3,6687.39,398,57,2018-08-30,Node 2,Node 3
97,27,237.95,2825,8,2018-08-31,Node 97,Node 27
24,78,8505.87,0,65,2018-09-01,Node 24,Node 78
2,15,6181.87,1014,76,2018-09-02,Node 2,Node 15
78,66,6170.4,4297,72,2018-09-03,Node 78,Node 66
80,66,2238.1,1705,11,2018-09-04,Node 80,Node 66
29,48,928.54,4810,2,2018-09-05,Node 29,Node 48
67,75,3148.32,3937,2,2018-09-06,Node 67,Node 75
42,73,9320.39,778,60,2018-09-07,Node 42,Node 73
28,71,5579.08,1425,10,2018-09-08,Node 28,Node 71
62,60,81.8,0,35,2018-09-09,Node 62,Node 60
19,56,1851.6,0,23,2018-09-10,Node 19,Node 56
33,43,2132.1,7632,66,2018-09-11,Node 33,Node 43
71,61,419.05,778,91,2018-09-12,Node 71,Node 61
61,11,5048.5,2208,14,2018-09-13,Node 61,Node 11
41,76,2733.35,6053,49,2018-09-14,Node 41,Node 76
66,42,2455.99,552,74,2018-09-15,Node 66,Node 42
6,33,2795.74,6295,33,2018-09-16,Node 6,Node 33
24,69,522.1,4680,66,2018-09-17,Node 24,Node 69
62,71,6327.99,0,5,2018-09-18,Node 62,Node 71
12,88,3988.08,10291,98,2018-09-19,Node 12,Node 88
12,58,2060.59,6768,66,2018-09-20,Node 12,Node 58
22,69,1949.7,2516,86,2018-09-21,Node 22,Node 69
13,85,4896.63,5767,81,2018-09-22,Node 13,Node 85
46,4,6727.73,9440,26,2018-09-23,Node 46,Node 4
45,39,9310.17,535,83,2018-09-24,Node 45,Node 39
74,59,7301.26,481,36,2018-09-25,Node 74,Node 59
47,35,4891.46,122,28,2018-09-26,Node 47,Node 35
23,76,3928.49,1810,54,2018-09-27,Node 23,Node 76
11,35,4286.01,3282,93,2018-09-28,Node 11,Node 35
92,8,1611.63,718,94,2018-09-29,Node 92,Node 8
48,15,2721.33,2266,37,2018-09-30,Node 48,Node 15
4,17,8267.38,522,76,2018-10-01,Node 4,Node 17
29,91,9421.85,605,75,2018-10-02,Node 29,Node 91
37,21,5965.81,12950,21,2018-10-03,Node 37,Node 21
8,58,719.59,7114,50,2018-10-04,Node 8,Node 58
40,53,8037.3,2179,0,2018-10-05,Node 40,Node 53
82,39,7957.15,9737,31,2018-10-06,Node 82,Node 39
12,26,350.87,1251,43,2018-10-07,Node 12,Node 26
89,22,4770.1,9146,20,2018-10-08,Node 89,Node 22
67,90,1724.27,1054,54,2018-10-09,Node 67,Node 90
25,29,3260.85,2818,37,2018-10-10,Node 25,Node 29
75,16,782.16,3479,34,2018-10-11,Node 75,Node 16
94,58,5132.93,0,3,2018-10-12,Node 94,Node 58
18,5,6201.13,12098,22,2018-10-13,Node 18,Node 5
58,57,148.41,2741,20,2018-10-14,Node 58,Node 57
29,46,5092.71,548,34,2018-10-15,Node 29,Node 46
70,48,9037.98,302,39,2018-10-16,Node 70,Node 48
20,4,9808.49,9378,61,2018-10-17,Node 20,Node 4
10,74,2361.29,1707,9,2018-10-18,Node 10,Node 74
44,39,7809.06,1780,29,2018-10-19,Node 44,Node 39
88,16,1023.24,989,76,2018-10-20,Node 88,Node 16
82,37,6073.41,3491,24,2018-10-21,Node 82,Node 37
66,93,8945.83,3217,69,2018-10-22,Node 66,Node 93
23,57,2588.75,0,7,2018-10-23,Node 23,Node 57
49,23,2185.86,10998,66,2018-10-24,Node 49,Node 23
36,44,6254.54,9292,36,2018-10-25,Node 36,Node 44
20,64,6080.52,10012,26,2018-10-26,Node 20,Node 64
98,77,418.27,1413,92,2018-10-27,Node 98,Node 77
17,0,5112.17,1147,45,2018-10-28,Node 17,Node 0
38,8,4147.88,6032,28,2018-10-29,Node 38,Node 8
82,68,6595.64,0,11,2018-10-30,Node 82,Node 68
85,56,919.32,2200,41,2018-10-31,Node 85,Node 56
51,77,673.38,187,23,2018-11-01,Node 51,Node 77
72,65,7886.88,0,93,2018-11-02,Node 72,Node 65
64,52,6723.38,3717,12,2018-11-03,Node 64,Node 52
58,50,928.65,1577,53,2018-11-04,Node 58,Node 50
90,0,6208.24,3633,72,2018-11-05,Node 90,Node 0
62,20,585.31,9584,11,2018-11-06,Node 62,Node 20
69,12,9048.05,5064,30,2018-11-07,Node 69,Node 12
54,55,7811.84,1805,6,2018-11-08,Node 54,Node 55
62,34,2870.28,505,33,2018-11-09,Node 62,Node 34
49,10,1166.65,848,86,2018-11-10,Node 49,Node 10
92,87,6251.34,99,33,2018-11-11,Node 92,Node 87
78,43,6161.63,189,20,2018-11-12,Node 78,Node 43
43,78,7923.18,2299,63,2018-11-13,Node 43,Node 78
23,92,7902.45,1080,25,2018-11-14,Node 23,Node 92
24,53,4933.69,4436,5,2018-11-15,Node 24,Node 53
60,21,4599.16,3078,78,2018-11-16,Node 60,Node 21
97,66,6148.0,11901,39,2018-11-17,Node 97,Node 66
57,78,3322.85,8274,39,2018-11-18,Node 57,Node 78
41,68,8956.37,2318,90,2018-11-19,Node 41,Node 68
61,76,1289.41,914,21,2018-11-20,Node 61,Node 76
35,10,1417.1,184,12,2018-11-21,Node 35,Node 10
85,27,206.6,2362,27,2018-11-22,Node 85,Node 27
78,7,6658.2,2012,37,2018-11-23,Node 78,Node 7
14,21,5133.5,4539,60,2018-11-24,Node 14,Node 21
54,77,4851.13,12555,15,2018-11-25,Node 54,Node 77
24,42,5219.87,4539,22,2018-11-26,Node 24,Node 42
75,9,5382.16,7262,45,2018-11-27,Node 75,Node 9
70,21,2233.07,2041,97,2018-11-28,Node 70,Node 21
51,57,7421.12,834,57,2018-11-29,Node 51,Node 57
6,22,1608.28,2466,62,2018-11-30,Node 6,Node 22
97,46,9758.29,0,33,2018-12-01,Node 97,Node 46
41,58,8755.3,596,61,2018-12-02,Node 41,Node 58
29,88,1696.69,4943,53,2018-12-03,Node 29,Node 88
66,15,6229.94,2522,45,2018-12-04,Node 66,Node 15
44,81,3425.07,751,70,2018-12-05,Node 44,Node 81
99,75,7216.3,714,58,2018-12-06,Node 99,Node 75
59,73,6403.76,4143,34,2018-12-07,Node 59,Node 73
90,57,4304.81,5145,32,2018-12-08,Node 90,Node 57
79,96,6688.29,5842,60,2018-12-09,Node 79,Node 96
64,71,4350.42,2662,96,2018-12-10,Node 64,Node 71
40,22,3522.12,1993,82,2018-12-11,Node 40,Node 22
54,21,3021.09,6661,62,2018-12-12,Node 54,Node 21
13,79,4200.99,0,59,2018-12-13,Node 13,Node 79
38,57,1347.1,0,26,2018-12-14,Node 38,Node 57
95,66,171.79,1514,72,2018-12-15,Node 95,Node 66
61,4,4951.66,4669,28,2018-12-16,Node 61,Node 4
76,55,1175.42,92,90,2018-12-17,Node 76,Node 55
20,50,8315.75,166,98,2018-12-18,Node 20,Node 50
46,36,9629.26,12207,71,2018-12-19,Node 46,Node 36
77,60,5434.25,6218,36,2018-12-20,Node 77,Node 60
80,97,1043.53,1078,46,2018-12-21,Node 80,Node 97
33,2,73.6,416,52,2018-12-22,Node 33,Node 2
97,29,9869.93,749,53,2018-12-23,Node 97,Node 29
44,9,3111.67,1888,60,2018-12-24,Node 44,Node 9
67,42,8523.78,1809,23,2018-12-25,Node 67,Node 42
48,20,9160.09,6391,56,2018-12-26,Node 48,Node 20
35,47,3415.12,1390,9,2018-12-27,Node 35,Node 47
83,53,2651.82,2232,15,2018-12-28,Node 83,Node 53
40,77,1346.73,1805,31,2018-12-29,Node 40,Node 77
8,31,230.74,3535,18,2018-12-30,Node 8,Node 31
70,33,9287.46,113,26,2018-12-31,Node 70,Node 33
70,61,2768.85,0,43,2019-01-01,Node 70,Node 61
32,14,9144.72,362,37,2019-01-02,Node 32,Node 14
97,54,6469.42,0,78,2019-01-03,Node 97,Node 54
7,68,9273.95,0,10,2019-01-04,Node 7,Node 68
82,24,7667.17,2097,23,2019-01-05,Node 82,Node 24
76,43,8515.94,10900,13,2019-01-06,Node 76,Node 43
32,15,1830.12,3183,24,2019-01-07,Node 32,Node 15
91,22,9918.61,0,94,2019-01-08,Node 91,Node 22
34,88,1584.52,10277,60,2019-01-09,Node 34,Node 88
24,33,3434.98,1600,86,2019-01-10,Node 24,Node 33
18,80,7632.56,3204,78,2019-01-11,Node 18,Node 80
87,78,9615.68,8364,29,2019-01-12,Node 87,Node 78
71,74,8329.59,7704,49,2019-01-13,Node 71,Node 74
11,9,2089.82,81,41,2019-01-14,Node 11,Node 9
16,72,2893.2,9571,43,2019-01-15,Node 16,Node 72
97,2,1880.82,1811,19,2019-01-16,Node 97,Node 2
21,24,2436.34,5947,1,2019-01-17,Node 21,Node 24
50,35,5332.84,1597,19,2019-01-18,Node 50,Node 35
90,48,3234.38,781,50,2019-01-19,Node 90,Node 48
97,88,2238.96,7149,41,2019-01-20,Node 97,Node 88
15,32,3813.03,1547,14,2019-01-21,Node 15,Node 32
88,38,4621.9,16,35,2019-01-22,Node 88,Node 38
12,53,7732.36,2677,92,2019-01-23,Node 12,Node 53
8,39,5688.48,1517,69,2019-01-24,Node 8,Node 39
30,57,6121.55,3501,32,2019-01-25,Node 30,Node 57
87,15,6289.4,5202,81,2019-01-26,Node 87,Node 15
7,9,2959.57,706,64,2019-01-27,Node 7,Node 9
59,38,4899.81,6613,87,2019-01-28,Node 59,Node 38
32,33,6793.63,197,78,2019-01-29,Node 32,Node 33
40,15,2705.16,3722,49,2019-01-30,Node 40,Node 15
72,84,2088.55,6687,54,2019-01-31,Node 72,Node 84
58,93,6072.93,9867,72,2019-02-01,Node 58,Node 93
15,82,4451.59,948,24,2019-02-02,Node 15,Node 82
82,5,7075.33,1886,93,2019-02-03,Node 82,Node 5
57,49,5271.32,3286,64,2019-02-04,Node 57,Node 49
26,2,2468.63,4818,58,2019-02-05,Node 26,Node 2
87,1,2034.25,0,66,2019-02-06,Node 87,Node 1
22,55,5149.05,2613,68,2019-02-07,Node 22,Node 55
80,93,5460.52,698,82,2019-02-08,Node 80,Node 93
58,52,9145.27,1433,25,2019-02-09,Node 58,Node 52
43,12,1857.2,2972,48,2019-02-10,Node 43,Node 12
9,85,8948.16,7504,75,2019-02-11,Node 9,Node 85
46,59,7688.24,7343,39,2019-02-12,Node 46,Node 59
3,15,5971.93,1120,99,2019-02-13,Node 3,Node 15
60,44,5194.17,952,84,2019-02-14,Node 60,Node 44
39,75,5605.23,74,91,2019-02-15,Node 39,Node 75
37,78,5531.85,0,78,2019-02-16,Node 37,Node 78
8,63,5390.8,961,11,2019-02-17,Node 8,Node 63
74,71,5485.94,0,9,2019-02-18,Node 74,Node 71
64,97,9222.94,5142,95,2019-02-19,Node 64,Node 97
36,18,1788.12,1334,89,2019-02-20,Node 36,Node 18
63,57,3016.33,5726,89,2019-02-21,Node 63,Node 57
81,40,2488.72,921,49,2019-02-22,Node 81,Node 40
49,0,8583.82,3843,94,2019-02-23,Node 49,Node 0
44,72,4278.37,9942,70,2019-02-24,Node 44,Node 72
57,15,7266.58,3933,33,2019-02-25,Node 57,Node 15
34,91,9205.1,0,13,2019-02-26,Node 34,Node 91
6,82,3004.18,5970,73,2019-02-27,Node 6,Node 82
54,75,1718.99,332,70,2019-02-28,Node 54,Node 75
42,12,7654.54,5243,37,2019-03-01,Node 42,Node 12
51,84,9398.01,0,5,2019-03-02,Node 51,Node 84
25,87,9827.75,5837,51,2019-03-03,Node 25,Node 87
26,72,7848.37,11165,94,2019-03-04,Node 26,Node 72
84,52,3727.99,2082,56,2019-03-05,Node 84,Node 52
21,24,3341.81,7438,8,2019-03-06,Node 21,Node 24
31,19,2395.32,6476,58,2019-03-07,Node 31,Node 19
88,61,330.8,3038,15,2019-03-08,Node 88,Node 61
22,43,2531.72,7492,57,2019-03-09,Node 22,Node 43
1,4,5765.02,986,66,2019-03-10,Node 1,Node 4
71,18,9746.61,954,18,2019-03-11,Node 71,Node 18
18,35,2197.23,6077,1,2019-03-12,Node 18,Node 35
15,20,7966.44,832,98,2019-03-13,Node 15,Node 20
29,52,2456.86,2005,49,2019-03-14,Node 29,Node 52
29,89,5727.09,479,23,2019-03-15,Node 29,Node 89
81,32,9796.51,5320,87,2019-03-16,Node 81,Node 32
10,88,5032.86,4937,61,2019-03-17,Node 10,Node 88
45,3,8966.57,0,59,2019-03-18,Node 45,Node 3
71,34,1267.4,1584,95,2019-03-19,Node 71,Node 34
0,51,2337.08,666,81,2019-03-20,Node 0,Node 51
31,7,16.38,8298,32,2019-03-21,Node 31,Node 7
10,61,2360.84,1195,9,2019-03-22,Node 10,Node 61
35,38,5962.48,510,58,2019-03-23,Node 35,Node 38
89,30,8623.55,300,16,2019-03-24,Node 89,Node 30
84,56,9943.96,9905,34,2019-03-25,Node 84,Node 56
18,48,3042.43,34,16,2019-03-26,Node 18,Node 48
26,16,1348.74,642,43,2019-03-27,Node 26,Node 16
26,11,7785.37,5844,21,2019-03-28,Node 26,Node 11
50,90,7572.44,6869,7,2019-03-29,Node 50,Node 90
69,88,8706.41,1360,27,2019-03-30,Node 69,Node 88
24,14,3959.28,1942,93,2019-03-31,Node 24,Node 14
1,7,3279.5,1306,72,2019-04-01,Node 1,Node 7
3,95,8413.69,1964,45,2019-04-02,Node 3,Node 95
